scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,PCO
A,RILP-Greedy,1,0,3.0,5,45,0.164977
A,RILP-Greedy,1,0,3.0,5,46,0.165039
A,RILP-Greedy,1,0,3.0,5,47,0.165095
A,RILP-Greedy,1,0,3.0,5,48,0.165056
A,RILP-Greedy,1,0,3.0,5,49,0.166423
A,RILP-Greedy,1,0,3.0,5,50,0.16428
A,RILP-Greedy,1,0,3.0,5,51,0.16625
A,Nam2023b,1,0,3.0,5,42,6.397267
A,Nam2023b,1,0,3.0,5,43,6.409959
A,Nam2023b,1,0,3.0,5,44,6.477834
A,Nam2023b,1,0,3.0,5,45,6.463679
A,Nam2023b,1,0,3.0,5,46,6.400696
A,Nam2023b,1,0,3.0,5,47,6.427243
A,Nam2023b,1,0,3.0,5,48,6.390884
A,Nam2023b,1,0,3.0,5,49,6.490169
A,Nam2023b,1,0,3.0,5,50,6.431813
A,Nam2023b,1,0,3.0,5,51,6.438197
A,Nam2025,1,0,3.0,5,42,0.165353
A,Nam2025,1,0,3.0,5,43,0.164757
A,Nam2025,1,0,3.0,5,44,0.165843
A,Nam2025,1,0,3.0,5,45,0.164977
A,Nam2025,1,0,3.0,5,46,0.165039
A,Nam2025,1,0,3.0,5,47,0.165095
A,Nam2025,1,0,3.0,5,48,0.165056
A,Nam2025,1,0,3.0,5,49,0.166423
A,Nam2025,1,0,3.0,5,50,0.16428
A,Nam2025,1,0,3.0,5,51,0.16625
A,Youn2026,1,0,3.0,5,42,0.165353
A,Youn2026,1,0,3.0,5,43,0.164757
A,Youn2026,1,0,3.0,5,44,0.165843
A,Youn2026,1,0,3.0,5,45,0.164977
A,Youn2026,1,0,3.0,5,46,0.165039
A,Youn2026,1,0,3.0,5,47,0.165095
A,Youn2026,1,0,3.0,5,48,0.165056
A,Youn2026,1,0,3.0,5,49,0.166423
A,Youn2026,1,0,3.0,5,50,0.16428
A,Youn2026,1,0,3.0,5,51,0.16625
A,V2I-Base,1,0,3.0,5,42,0.165353
A,V2I-Base,1,0,3.0,5,43,0.164757
A,V2I-Base,1,0,3.0,5,44,0.165843
A,V2I-Base,1,0,3.0,5,45,0.164977
A,V2I-Base,1,0,3.0,5,46,0.165039
A,V2I-Base,1,0,3.0,5,47,0.165095
A,V2I-Base,1,0,3.0,5,48,0.165056
A,V2I-Base,1,0,3.0,5,49,0.166423
A,V2I-Base,1,0,3.0,5,50,0.16428
A,V2I-Base,1,0,3.0,5,51,0.16625
A,V2V-Base,1,0,3.0,5,42,4.46919
A,V2V-Base,1,0,3.0,5,43,4.478344
A,V2V-Base,1,0,3.0,5,44,4.537028
A,V2V-Base,1,0,3.0,5,45,4.531731
A,V2V-Base,1,0,3.0,5,46,4.481946
A,V2V-Base,1,0,3.0,5,47,4.497949
A,V2V-Base,1,0,3.0,5,48,4.475269
A,V2V-Base,1,0,3.0,5,49,4.545542
A,V2V-Base,1,0,3.0,5,50,4.514461
