scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,RLBI
A,Random-K,1,10,0.0,5,48,0.989722
A,Random-K,1,10,0.0,5,49,0.989926
A,Random-K,1,10,0.0,5,50,0.989885
A,Random-K,1,10,0.0,5,51,0.98986
A,RILP,1,10,1.0,5,42,0.989768
A,RILP,1,10,1.0,5,43,0.989824
A,RILP,1,10,1.0,5,44,0.989801
A,RILP,1,10,1.0,5,45,0.989865
A,RILP,1,10,1.0,5,46,0.989785
A,RILP,1,10,1.0,5,47,0.989803
A,RILP,1,10,1.0,5,48,0.989722
A,RILP,1,10,1.0,5,49,0.989926
A,RILP,1,10,1.0,5,50,0.989885
A,RILP,1,10,1.0,5,51,0.98986
A,RILP-Greedy,1,10,1.0,5,42,0.989768
A,RILP-Greedy,1,10,1.0,5,43,0.989824
A,RILP-Greedy,1,10,1.0,5,44,0.989801
A,RILP-Greedy,1,10,1.0,5,45,0.989865
A,RILP-Greedy,1,10,1.0,5,46,0.989785
A,RILP-Greedy,1,10,1.0,5,47,0.989803
A,RILP-Greedy,1,10,1.0,5,48,0.989722
A,RILP-Greedy,1,10,1.0,5,49,0.989926
A,RILP-Greedy,1,10,1.0,5,50,0.989885
A,RILP-Greedy,1,10,1.0,5,51,0.98986
A,Nam2023b,1,10,1.0,5,42,0.989768
A,Nam2023b,1,10,1.0,5,43,0.989824
A,Nam2023b,1,10,1.0,5,44,0.989801
A,Nam2023b,1,10,1.0,5,45,0.989865
A,Nam2023b,1,10,1.0,5,46,0.989785
A,Nam2023b,1,10,1.0,5,47,0.989803
A,Nam2023b,1,10,1.0,5,48,0.989722
A,Nam2023b,1,10,1.0,5,49,0.989926
A,Nam2023b,1,10,1.0,5,50,0.989885
A,Nam2023b,1,10,1.0,5,51,0.98986
A,Nam2025,1,10,1.0,5,42,0.989768
A,Nam2025,1,10,1.0,5,43,0.989824
A,Nam2025,1,10,1.0,5,44,0.989801
A,Nam2025,1,10,1.0,5,45,0.989865
A,Nam2025,1,10,1.0,5,46,0.989785
A,Nam2025,1,10,1.0,5,47,0.989803
A,Nam2025,1,10,1.0,5,48,0.989722
A,Nam2025,1,10,1.0,5,49,0.989926
A,Nam2025,1,10,1.0,5,50,0.989885
A,Nam2025,1,10,1.0,5,51,0.98986
A,Youn2026,1,10,1.0,5,42,0.989768
A,Youn2026,1,10,1.0,5,43,0.989824
A,Youn2026,1,10,1.0,5,44,0.989801
A,Youn2026,1,10,1.0,5,45,0.989865
A,Youn2026,1,10,1.0,5,46,0.989785
A,Youn2026,1,10,1.0,5,47,0.989803
A,Youn2026,1,10,1.0,5,48,0.989722
A,Youn2026,1,10,1.0,5,49,0.989926
A,Youn2026,1,10,1.0,5,50,0.989885
A,Youn2026,1,10,1.0,5,51,0.98986
A,V2I-Base,1,10,1.0,5,42,0.989768
A,V2I-Base,1,10,1.0,5,43,0.989824
A,V2I-Base,1,10,1.0,5,44,0.989801
A,V2I-Base,1,10,1.0,5,45,0.989865
A,V2I-Base,1,10,1.0,5,46,0.989785
A,V2I-Base,1,10,1.0,5,47,0.989803
A,V2I-Base,1,10,1.0,5,48,0.989722
A,V2I-Base,1,10,1.0,5,49,0.989926
A,V2I-Base,1,10,1.0,5,50,0.989885
A,V2I-Base,1,10,1.0,5,51,0.98986
A,V2V-Base,1,10,1.0,5,42,0.989768
A,V2V-Base,1,10,1.0,5,43,0.989824
A,V2V-Base,1,10,1.0,5,44,0.989801
A,V2V-Base,1,10,1.0,5,45,0.989865
A,V2V-Base,1,10,1.0,5,46,0.989785
A,V2V-Base,1,10,1.0,5,47,0.989803
A,V2V-Base,1,10,1.0,5,48,0.989722
A,V2V-Base,1,10,1.0,5,49,0.989926
A,V2V-Base,1,10,1.0,5,50,0.989885
A,V2V-Base,1,10,1.0,5,51,0.98986
A,Random-K,1,10,1.0,5,42,0.989768
A,Random-K,1,10,1.0,5,43,0.989824
A,Random-K,1,10,1.0,5,44,0.989801
A,Random-K,1,10,1.0,5,45,0.989865
A,Random-K,1,10,1.0,5,46,0.989785
A,Random-K,1,10,1.0,5,47,0.989803
A,Random-K,1,10,1.0,5,48,0.989722
A,Random-K,1,10,1.0,5,49,0.989926
A,Random-K,1,10,1.0,5,50,0.989885
A,Random-K,1,10,1.0,5,51,0.98986
A,RILP,1,10,2.0,5,42,0.989768
A,RILP,1,10,2.0,5,43,0.989824
A,RILP,1,10,2.0,5,44,0.989801
A,RILP,1,10,2.0,5,45,0.989865
A,RILP,1,10,2.0,5,46,0.989785
A,RILP,1,10,2.0,5,47,0.989439
A,RILP,1,10,2.0,5,48,0.98941
A,RILP,1,10,2.0,5,49,0.989452
A,RILP,1,10,2.0,5,50,0.989454
A,RILP,1,10,2.0,5,51,0.989489
A,RILP-Greedy,1,10,2.0,5,42,0.989295
A,RILP-Greedy,1,10,2.0,5,43,0.989422
A,RILP-Greedy,1,10,2.0,5,44,0.989355
A,RILP-Greedy,1,10,2.0,5,45,0.989429
A,RILP-Greedy,1,10,2.0,5,46,0.989433
A,RILP-Greedy,1,10,2.0,5,47,0.989439
A,RILP-Greedy,1,10,2.0,5,48,0.98941
A,RILP-Greedy,1,10,2.0,5,49,0.989452
A,RILP-Greedy,1,10,2.0,5,50,0.989454
A,RILP-Greedy,1,10,2.0,5,51,0.989489
A,Nam2023b,1,10,2.0,5,42,0.989295
A,Nam2023b,1,10,2.0,5,43,0.989422
A,Nam2023b,1,10,2.0,5,44,0.989355
A,Nam2023b,1,10,2.0,5,45,0.989429
A,Nam2023b,1,10,2.0,5,46,0.989433
A,Nam2023b,1,10,2.0,5,47,0.989439
A,Nam2023b,1,10,2.0,5,48,0.98941
A,Nam2023b,1,10,2.0,5,49,0.989452
A,Nam2023b,1,10,2.0,5,50,0.989454
A,Nam2023b,1,10,2.0,5,51,0.989489
A,Nam2025,1,10,2.0,5,42,0.989295
A,Nam2025,1,10,2.0,5,43,0.989422
A,Nam2025,1,10,2.0,5,44,0.989355
A,Nam2025,1,10,2.0,5,45,0.989429
A,Nam2025,1,10,2.0,5,46,0.989433
A,Nam2025,1,10,2.0,5,47,0.989439
A,Nam2025,1,10,2.0,5,48,0.98941
A,Nam2025,1,10,2.0,5,49,0.989452
A,Nam2025,1,10,2.0,5,50,0.989454
A,Nam2025,1,10,2.0,5,51,0.989489
A,Youn2026,1,10,2.0,5,42,0.989295
A,Youn2026,1,10,2.0,5,43,0.989422
A,Youn2026,1,10,2.0,5,44,0.989355
A,Youn2026,1,10,2.0,5,45,0.989429
A,Youn2026,1,10,2.0,5,46,0.989433
A,Youn2026,1,10,2.0,5,47,0.989439
A,Youn2026,1,10,2.0,5,48,0.98941
