scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR,CDSR,AoI_violation_rate,PCO,RLBI
A,Nam2023b,1,0,1.0,5,42,0.291536,0.002988,0.197585,6.46879,0.989703
A,Nam2023b,1,0,1.0,5,43,0.291415,0.003027,0.197403,6.505786,0.989754
A,Nam2023b,1,0,1.0,5,44,0.291219,0.002961,0.197894,6.558881,0.989828
A,Nam2023b,1,0,1.0,5,45,0.291346,0.003007,0.197756,6.551396,0.989789
A,Nam2023b,1,0,1.0,5,46,0.29154,0.002978,0.19751,6.526031,0.989784
A,Nam2023b,1,0,1.0,5,47,0.291328,0.002977,0.197674,6.48549,0.989814
A,Nam2023b,1,0,1.0,5,48,0.291685,0.003036,0.197462,6.366584,0.989625
A,Nam2023b,1,0,1.0,5,49,0.291452,0.002932,0.198095,6.533195,0.989817
A,Nam2023b,1,0,1.0,5,50,0.291254,0.002973,0.197661,6.499614,0.98975
A,Nam2023b,1,0,1.0,5,51,0.291373,0.002958,0.197665,6.511773,0.989791
A,Nam2025,1,0,1.0,5,42,0.438396,0.004555,0.033958,0.167894,0.989703
A,Nam2025,1,0,1.0,5,43,0.43822,0.004518,0.034155,0.168553,0.989754
A,Nam2025,1,0,1.0,5,44,0.43827,0.004446,0.034217,0.168518,0.989828
A,Nam2025,1,0,1.0,5,45,0.43831,0.004514,0.03404,0.167954,0.989789
A,Nam2025,1,0,1.0,5,46,0.438395,0.004486,0.034011,0.168527,0.989784
A,Nam2025,1,0,1.0,5,47,0.438083,0.004464,0.034263,0.16694,0.989814
A,Nam2025,1,0,1.0,5,48,0.438504,0.00456,0.034171,0.166112,0.989625
A,Nam2025,1,0,1.0,5,49,0.438457,0.004437,0.03437,0.169367,0.989817
A,Nam2025,1,0,1.0,5,50,0.438305,0.004498,0.034107,0.167576,0.98975
A,Nam2025,1,0,1.0,5,51,0.438333,0.004469,0.034176,0.169271,0.989791
A,Youn2026,1,0,1.0,5,42,0.438396,0.004555,0.033958,0.167894,0.989703
A,Youn2026,1,0,1.0,5,43,0.43822,0.004518,0.034155,0.168553,0.989754
A,Youn2026,1,0,1.0,5,44,0.43827,0.004446,0.034217,0.168518,0.989828
A,Youn2026,1,0,1.0,5,45,0.43831,0.004514,0.03404,0.167954,0.989789
A,Youn2026,1,0,1.0,5,46,0.438395,0.004486,0.034011,0.168527,0.989784
A,Youn2026,1,0,1.0,5,47,0.438083,0.004464,0.034263,0.16694,0.989814
A,Youn2026,1,0,1.0,5,48,0.438504,0.00456,0.034171,0.166112,0.989625
A,Youn2026,1,0,1.0,5,49,0.438457,0.004437,0.03437,0.169367,0.989817
A,Youn2026,1,0,1.0,5,50,0.438305,0.004498,0.034107,0.167576,0.98975
A,Youn2026,1,0,1.0,5,51,0.438333,0.004469,0.034176,0.169271,0.989791
A,V2I-Base,1,0,1.0,5,42,0.438396,0.004555,0.033958,0.167894,0.989703
A,V2I-Base,1,0,1.0,5,43,0.43822,0.004518,0.034155,0.168553,0.989754
A,V2I-Base,1,0,1.0,5,44,0.43827,0.004446,0.034217,0.168518,0.989828
A,V2I-Base,1,0,1.0,5,45,0.43831,0.004514,0.03404,0.167954,0.989789
A,V2I-Base,1,0,1.0,5,46,0.438395,0.004486,0.034011,0.168527,0.989784
A,V2I-Base,1,0,1.0,5,47,0.438083,0.004464,0.034263,0.16694,0.989814
A,V2I-Base,1,0,1.0,5,48,0.438504,0.00456,0.034171,0.166112,0.989625
A,V2I-Base,1,0,1.0,5,49,0.438457,0.004437,0.03437,0.169367,0.989817
A,V2I-Base,1,0,1.0,5,50,0.438305,0.004498,0.034107,0.167576,0.98975
A,V2I-Base,1,0,1.0,5,51,0.438333,0.004469,0.034176,0.169271,0.989791
A,V2V-Base,1,0,1.0,5,42,0.999454,0.69474,7e-06,4.521877,0.989703
A,V2V-Base,1,0,1.0,5,43,0.999427,0.694713,6e-06,4.55856,0.989754
A,V2V-Base,1,0,1.0,5,44,0.999442,0.694572,6e-06,4.578225,0.989828
A,V2V-Base,1,0,1.0,5,45,0.999433,0.694663,6e-06,4.590649,0.989789
A,V2V-Base,1,0,1.0,5,46,0.999426,0.694362,7e-06,4.559189,0.989784
A,V2V-Base,1,0,1.0,5,47,0.999448,0.694848,5e-06,4.538042,0.989814
A,V2V-Base,1,0,1.0,5,48,0.999447,0.694623,7e-06,4.46435,0.989625
A,V2V-Base,1,0,1.0,5,49,0.999424,0.694592,1.3e-05,4.553212,0.989817
A,V2V-Base,1,0,1.0,5,50,0.999443,0.694809,7e-06,4.54534,0.98975
A,V2V-Base,1,0,1.0,5,51,0.999456,0.694764,3e-06,4.554321,0.989791
A,Random-K,1,0,1.0,5,42,0.999309,0.900443,0.000104,5.837957,0.989703
A,Random-K,1,0,1.0,5,43,0.999233,0.900442,0.000119,5.871679,0.989754
A,Random-K,1,0,1.0,5,44,0.999284,0.900429,0.000153,5.919553,0.989828
A,Random-K,1,0,1.0,5,45,0.999284,0.900368,0.000109,5.913579,0.989789
A,Random-K,1,0,1.0,5,46,0.999254,0.900243,0.000125,5.890545,0.989784
A,Random-K,1,0,1.0,5,47,0.999273,0.900208,8.9e-05,5.854071,0.989814
A,Random-K,1,0,1.0,5,48,0.999254,0.900271,0.000142,5.74678,0.989625
A,Random-K,1,0,1.0,5,49,0.999276,0.900349,0.000159,5.89682,0.989817
A,Random-K,1,0,1.0,5,50,0.99932,0.900323,0.000126,5.866108,0.98975
A,Random-K,1,0,1.0,5,51,0.999305,0.900313,0.000102,5.87716,0.989791
A,RILP,1,0,2.0,5,42,0.438396,0.004555,0.033958,0.167894,0.989703
A,RILP,1,0,2.0,5,43,0.43822,0.004518,0.034155,0.168553,0.989754
A,RILP,1,0,2.0,5,44,0.43827,0.004446,0.034217,0.168518,0.989828
A,RILP,1,0,2.0,5,45,0.43831,0.004514,0.03404,0.167954,0.989789
A,RILP,1,0,2.0,5,46,0.438395,0.004486,0.034011,0.168527,0.989784
A,RILP,1,0,2.0,5,47,0.438083,0.004464,0.034263,0.16694,0.989814
A,RILP,1,0,2.0,5,48,0.438504,0.00456,0.034171,0.166112,0.989625
A,RILP,1,0,2.0,5,49,0.438457,0.004437,0.03437,0.169367,0.989817
A,RILP,1,0,2.0,5,50,0.438305,0.004498,0.034107,0.167576,0.98975
A,RILP,1,0,2.0,5,51,0.438333,0.004469,0.034176,0.169271,0.989791
A,RILP-Greedy,1,0,2.0,5,42,0.438396,0.004555,0.033958,0.167894,0.989703
A,RILP-Greedy,1,0,2.0,5,43,0.43822,0.004518,0.034155,0.168553,0.989754
A,RILP-Greedy,1,0,2.0,5,44,0.43827,0.004446,0.034217,0.168518,0.989828
A,RILP-Greedy,1,0,2.0,5,45,0.43831,0.004514,0.03404,0.167954,0.989789
A,RILP-Greedy,1,0,2.0,5,46,0.438395,0.004486,0.034011,0.168527,0.989784
A,RILP-Greedy,1,0,2.0,5,47,0.438083,0.004464,0.034263,0.16694,0.989814
A,RILP-Greedy,1,0,2.0,5,48,0.438504,0.00456,0.034171,0.166112,0.989625
A,RILP-Greedy,1,0,2.0,5,49,0.438457,0.004437,0.03437,0.169367,0.989817
A,RILP-Greedy,1,0,2.0,5,50,0.438305,0.004498,0.034107,0.167576,0.98975
A,RILP-Greedy,1,0,2.0,5,51,0.438333,0.004469,0.034176,0.169271,0.989791
A,Nam2023b,1,0,2.0,5,42,0.291536,0.002988,0.197585,6.46879,0.989703
A,Nam2023b,1,0,2.0,5,43,0.291415,0.003027,0.197403,6.505786,0.989754
A,Nam2023b,1,0,2.0,5,44,0.291219,0.002961,0.197894,6.558881,0.989828
A,Nam2023b,1,0,2.0,5,45,0.291346,0.003007,0.197756,6.551396,0.989789
A,Nam2023b,1,0,2.0,5,46,0.29154,0.002978,0.19751,6.526031,0.989784
A,Nam2023b,1,0,2.0,5,47,0.291328,0.002977,0.197674,6.48549,0.989814
A,Nam2023b,1,0,2.0,5,48,0.291685,0.003036,0.197462,6.366584,0.989625
A,Nam2023b,1,0,2.0,5,49,0.291452,0.002932,0.198095,6.533195,0.989817
A,Nam2023b,1,0,2.0,5,50,0.291254,0.002973,0.197661,6.499614,0.98975
A,Nam2023b,1,0,2.0,5,51,0.291373,0.002958,0.197665,6.511773,0.989791
A,Nam2025,1,0,2.0,5,42,0.438396,0.004555,0.033958,0.167894,0.989703
A,Nam2025,1,0,2.0,5,43,0.43822,0.004518,0.034155,0.168553,0.989754
A,Nam2025,1,0,2.0,5,44,0.43827,0.004446,0.034217,0.168518,0.989828
A,Nam2025,1,0,2.0,5,45,0.43831,0.004514,0.03404,0.167954,0.989789
A,Nam2025,1,0,2.0,5,46,0.438395,0.004486,0.034011,0.168527,0.989784
A,Nam2025,1,0,2.0,5,47,0.438083,0.004464,0.034263,0.16694,0.989814
A,Nam2025,1,0,2.0,5,48,0.438504,0.00456,0.034171,0.166112,0.989625
A,Nam2025,1,0,2.0,5,49,0.438457,0.004437,0.03437,0.169367,0.989817
A,Nam2025,1,0,2.0,5,50,0.438305,0.004498,0.034107,0.167576,0.98975
A,Nam2025,1,0,2.0,5,51,0.438333,0.004469,0.034176,0.169271,0.989791
A,Youn2026,1,0,2.0,5,42,0.438396,0.004555,0.033958,0.167894,0.989703
A,Youn2026,1,0,2.0,5,43,0.43822,0.004518,0.034155,0.168553,0.989754
A,Youn2026,1,0,2.0,5,44,0.43827,0.004446,0.034217,0.168518,0.989828
A,Youn2026,1,0,2.0,5,45,0.43831,0.004514,0.03404,0.167954,0.989789
A,Youn2026,1,0,2.0,5,46,0.438395,0.004486,0.034011,0.168527,0.989784
A,Youn2026,1,0,2.0,5,47,0.438083,0.004464,0.034263,0.16694,0.989814
A,Youn2026,1,0,2.0,5,48,0.438504,0.00456,0.034171,0.166112,0.989625
A,Youn2026,1,0,2.0,5,49,0.438457,0.004437,0.03437,0.169367,0.989817
A,Youn2026,1,0,2.0,5,50,0.438305,0.004498,0.034107,0.167576,0.98975
A,Youn2026,1,0,2.0,5,51,0.438333,0.004469,0.034176,0.169271,0.989791
A,V2I-Base,1,0,2.0,5,42,0.438396,0.004555,0.033958,0.167894,0.989703
A,V2I-Base,1,0,2.0,5,43,0.43822,0.004518,0.034155,0.168553,0.989754
A,V2I-Base,1,0,2.0,5,44,0.43827,0.004446,0.034217,0.168518,0.989828
A,V2I-Base,1,0,2.0,5,45,0.43831,0.004514,0.03404,0.167954,0.989789
A,V2I-Base,1,0,2.0,5,46,0.438395,0.004486,0.034011,0.168527,0.989784
A,V2I-Base,1,0,2.0,5,47,0.438083,0.004464,0.034263,0.16694,0.989814
A,V2I-Base,1,0,2.0,5,48,0.438504,0.00456,0.034171,0.166112,0.989625
A,V2I-Base,1,0,2.0,5,49,0.438457,0.004437,0.03437,0.169367,0.989817
A,V2I-Base,1,0,2.0,5,50,0.438305,0.004498,0.034107,0.167576,0.98975
A,V2I-Base,1,0,2.0,5,51,0.438333,0.004469,0.034176,0.169271,0.989791
A,V2V-Base,1,0,2.0,5,42,0.999454,0.69474,7e-06,4.521877,0.989703
A,V2V-Base,1,0,2.0,5,43,0.999427,0.694713,6e-06,4.55856,0.989754
A,V2V-Base,1,0,2.0,5,44,0.999442,0.694572,6e-06,4.578225,0.989828
A,V2V-Base,1,0,2.0,5,45,0.999433,0.694663,6e-06,4.590649,0.989789
A,V2V-Base,1,0,2.0,5,46,0.999426,0.694362,7e-06,4.559189,0.989784
A,V2V-Base,1,0,2.0,5,47,0.999448,0.694848,5e-06,4.538042,0.989814
A,V2V-Base,1,0,2.0,5,48,0.999447,0.694623,7e-06,4.46435,0.989625
A,V2V-Base,1,0,2.0,5,49,0.999424,0.694592,1.3e-05,4.553212,0.989817
A,V2V-Base,1,0,2.0,5,50,0.999443,0.694809,7e-06,4.54534,0.98975
A,V2V-Base,1,0,2.0,5,51,0.999456,0.694764,3e-06,4.554321,0.989791
A,Random-K,1,0,2.0,5,42,0.999309,0.900443,0.000104,5.837957,0.989703
A,Random-K,1,0,2.0,5,43,0.999225,0.900373,0.000136,5.785862,0.989824
A,Random-K,1,0,2.0,5,44,0.999284,0.900255,7.2e-05,5.845845,0.989801
A,Random-K,1,0,2.0,5,45,0.999278,0.900265,9.9e-05,5.833465,0.989865
A,Random-K,1,0,2.0,5,46,0.999251,0.900217,0.000103,5.776723,0.989785
A,Random-K,1,0,2.0,5,47,0.999238,0.900244,9.8e-05,5.800686,0.989803
A,Random-K,1,0,2.0,5,48,0.999276,0.900209,0.00011,5.769121,0.989722
A,Random-K,1,0,2.0,5,49,0.999292,0.900366,9.9e-05,5.858712,0.989926
A,Random-K,1,0,2.0,5,50,0.999233,0.900219,9.7e-05,5.804284,0.989885
A,Random-K,1,0,2.0,5,51,0.999239,0.900294,0.000104,5.811778,0.98986
A,RILP,1,0,3.0,5,42,0.438361,0.004478,0.034206,0.165353,0.989768
A,RILP,1,0,3.0,5,43,0.438181,0.004466,0.034234,0.164757,0.989824
A,RILP,1,0,3.0,5,44,0.43852,0.004465,0.034102,0.165843,0.989801
A,RILP,1,0,3.0,5,45,0.438272,0.004431,0.03425,0.164977,0.989865
A,RILP,1,0,3.0,5,46,0.438622,0.004476,0.034141,0.165039,0.989785
A,RILP,1,0,3.0,5,47,0.438194,0.004496,0.034129,0.165095,0.989803
A,RILP,1,0,3.0,5,48,0.438246,0.004518,0.03415,0.165056,0.989722
A,RILP,1,0,3.0,5,49,0.438398,0.004418,0.034107,0.166423,0.989926
A,RILP,1,0,3.0,5,50,0.438291,0.00442,0.034091,0.16428,0.989885
A,RILP,1,0,3.0,5,51,0.438268,0.004438,0.034248,0.16625,0.98986
A,RILP-Greedy,1,0,3.0,5,42,0.438361,0.004478,0.034206,0.165353,0.989768
A,RILP-Greedy,1,0,3.0,5,43,0.438181,0.004466,0.034234,0.164757,0.989824
A,RILP-Greedy,1,0,3.0,5,44,0.43852,0.004465,0.034102,0.165843,0.989801
A,RILP-Greedy,1,0,3.0,5,45,0.438272,0.004431,0.03425,0.164977,0.989865
A,RILP-Greedy,1,0,3.0,5,46,0.438622,0.004476,0.034141,0.165039,0.989785
A,RILP-Greedy,1,0,3.0,5,47,0.438194,0.004496,0.034129,0.165095,0.989803
A,RILP-Greedy,1,0,3.0,5,48,0.438246,0.004518,0.03415,0.165056,0.989722
A,RILP-Greedy,1,0,3.0,5,49,0.438398,0.004418,0.034107,0.166423,0.989926
A,RILP-Greedy,1,0,3.0,5,50,0.438291,0.00442,0.034091,0.16428,0.989885
A,RILP-Greedy,1,0,3.0,5,51,0.438268,0.004438,0.034248,0.16625,0.98986
A,Nam2023b,1,0,3.0,5,42,0.291513,0.002964,0.197482,6.397267,0.989768
A,Nam2023b,1,0,3.0,5,43,0.29153,0.00298,0.19731,6.409959,0.989824
A,Nam2023b,1,0,3.0,5,44,0.291482,0.002965,0.197643,6.477834,0.989801
A,Nam2023b,1,0,3.0,5,45,0.291602,0.002952,0.197562,6.463679,0.989865
A,Nam2023b,1,0,3.0,5,46,0.291529,0.002984,0.197967,6.400696,0.989785
A,Nam2023b,1,0,3.0,5,47,0.291325,0.002992,0.197733,6.427243,0.989803
A,Nam2023b,1,0,3.0,5,48,0.291279,0.003027,0.198092,6.390884,0.989722
A,Nam2023b,1,0,3.0,5,49,0.291563,0.002921,0.197591,6.490169,0.989926
A,Nam2023b,1,0,3.0,5,50,0.291497,0.002932,0.1977,6.431813,0.989885
A,Nam2023b,1,0,3.0,5,51,0.291294,0.002942,0.198068,6.438197,0.98986
A,Nam2025,1,0,3.0,5,42,0.438361,0.004478,0.034206,0.165353,0.989768
A,Nam2025,1,0,3.0,5,43,0.438181,0.004466,0.034234,0.164757,0.989824
A,Nam2025,1,0,3.0,5,44,0.43852,0.004465,0.034102,0.165843,0.989801
A,Nam2025,1,0,3.0,5,45,0.438272,0.004431,0.03425,0.164977,0.989865
A,Nam2025,1,0,3.0,5,46,0.438622,0.004476,0.034141,0.165039,0.989785
A,Nam2025,1,0,3.0,5,47,0.438194,0.004496,0.034129,0.165095,0.989803
A,Nam2025,1,0,3.0,5,48,0.438246,0.004518,0.03415,0.165056,0.989722
A,Nam2025,1,0,3.0,5,49,0.438398,0.004418,0.034107,0.166423,0.989926
A,Nam2025,1,0,3.0,5,50,0.438291,0.00442,0.034091,0.16428,0.989885
A,Nam2025,1,0,3.0,5,51,0.438268,0.004438,0.034248,0.16625,0.98986
A,Youn2026,1,0,3.0,5,42,0.438361,0.004478,0.034206,0.165353,0.989768
A,Youn2026,1,0,3.0,5,43,0.438181,0.004466,0.034234,0.164757,0.989824
A,Youn2026,1,0,3.0,5,44,0.43852,0.004465,0.034102,0.165843,0.989801
A,Youn2026,1,0,3.0,5,45,0.438272,0.004431,0.03425,0.164977,0.989865
A,Youn2026,1,0,3.0,5,46,0.438622,0.004476,0.034141,0.165039,0.989785
A,Youn2026,1,0,3.0,5,47,0.438194,0.004496,0.034129,0.165095,0.989803
A,Youn2026,1,0,3.0,5,48,0.438246,0.004518,0.03415,0.165056,0.989722
A,Youn2026,1,0,3.0,5,49,0.438398,0.004418,0.034107,0.166423,0.989926
A,Youn2026,1,0,3.0,5,50,0.438291,0.00442,0.034091,0.16428,0.989885
A,Youn2026,1,0,3.0,5,51,0.438268,0.004438,0.034248,0.16625,0.98986
A,V2I-Base,1,0,3.0,5,42,0.438361,0.004478,0.034206,0.165353,0.989768
A,V2I-Base,1,0,3.0,5,43,0.438181,0.004466,0.034234,0.164757,0.989824
A,V2I-Base,1,0,3.0,5,44,0.43852,0.004465,0.034102,0.165843,0.989801
A,V2I-Base,1,0,3.0,5,45,0.438272,0.004431,0.03425,0.164977,0.989865
A,V2I-Base,1,0,3.0,5,46,0.438622,0.004476,0.034141,0.165039,0.989785
A,V2I-Base,1,0,3.0,5,47,0.438194,0.004496,0.034129,0.165095,0.989803
A,V2I-Base,1,0,3.0,5,48,0.438246,0.004518,0.03415,0.165056,0.989722
A,V2I-Base,1,0,3.0,5,49,0.438398,0.004418,0.034107,0.166423,0.989926
A,V2I-Base,1,0,3.0,5,50,0.438291,0.00442,0.034091,0.16428,0.989885
A,V2I-Base,1,0,3.0,5,51,0.438268,0.004438,0.034248,0.16625,0.98986
A,V2V-Base,1,0,3.0,5,42,0.999325,0.694545,4e-06,4.46919,0.989768
A,V2V-Base,1,0,3.0,5,43,0.999379,0.694744,5e-06,4.478344,0.989824
A,V2V-Base,1,0,3.0,5,44,0.999411,0.694716,4e-06,4.537028,0.989801
A,V2V-Base,1,0,3.0,5,45,0.999391,0.694756,5e-06,4.531731,0.989865
A,V2V-Base,1,0,3.0,5,46,0.999367,0.69449,5e-06,4.481946,0.989785
